"","Date","Democrat","Republican"
"778","3/17 - 3/20","48","38"
"779","3/3 - 3/6","50","41"
"780","3/3 - 3/6","51","38"
"781","2/29 - 3/1","41","36"
"782","2/24 - 2/27","52","44"
"783","2/15 - 2/17","47","42"
"784","2/11 - 2/15","43","45"
"785","2/10 - 2/15","44","43"
"786","2/2 - 2/4","46","41"
"787","2/2 - 2/3","47","40"
"788","1/9 - 1/13","51","41"
"789","1/4 - 1/7","44","47"
"790","12/22 - 12/23","37","36"
"791","12/17 - 12/21","49","47"
"792","12/16 - 12/20","47","40"
"793","12/16 - 12/17","49","38"
"794","12/16 - 12/17","46","43"
"795","12/10 - 12/13","50","44"
"796","12/6 - 12/9","50","40"
"797","12/2 - 12/6","48","44"
"798","11/27 - 12/1","49","46"
"799","11/23 - 11/30","47","41"
"800","11/15 - 12/2","52","41"
"801","11/16 - 11/19","41","46"
"802","11/16 - 11/17","45","44"
"803","10/29 - 11/4","56","41"
"804","10/29 - 11/2","46","43"
"805","10/25 - 10/29","50","42"
"806","10/14 - 10/17","50","45"
"807","10/10 - 10/12","40","45"
"808","10/1 - 10/4","44","44"
"809","9/20 - 9/24","49","39"
"810","9/20 - 9/22","46","42"
"811","9/17 - 9/21","45","43"
"812","9/7 - 9/10","46","43"
"813","9/4 - 9/8","48","48"
"814","8/26 - 9/9","53","40"
"815","9/2 - 9/3","40","45"
"816","8/28 - 8/30","46","44"
"817","8/20 - 8/25","45","41"
"818","8/13 - 8/16","51","45"
"819","8/11 - 8/13","47","42"
"820","7/23 - 7/28","48","36"
"821","7/22 - 7/28","54","38"
"822","7/22 - 7/25","56","40"
"823","7/20 - 7/21","50","37"
"824","7/9 - 7/12","51","34"
"825","6/26 - 6/28","59","35"
"826","6/21 - 6/23","51","34"
"827","5/19 - 5/26","50","32"
"828","--","53.3","44.9"
"829","10/13 - 11/3","49.7","42.4"
"830","11/1 - 11/3","50","43"
"831","11/1 - 11/3","55","42"
"832","10/29 - 11/1","52","44"
"833","10/28 - 11/1","45","46"
"834","10/25 - 11/3","50","41"
"835","10/28 - 10/30","47","42"
"836","10/28 - 10/29","52","43"
"837","10/26 - 10/28","47","38"
"838","10/24 - 10/30","49","42"
"839","10/21 - 10/25","47","44"
"840","10/21 - 10/23","47","41"
"841","10/21 - 10/23","50","40"
"842","10/17 - 10/23","49","42"
"843","10/18 - 10/22","51","43"
"844","10/14 - 10/18","47","44"
"845","10/14 - 10/17","50","41"
"846","10/14 - 10/16","46","41"
"847","10/13 - 10/16","49","42"
"848","10/10 - 10/16","51","40"
"849","10/8 - 10/11","53","42"
"850","10/7 - 10/11","45","44"
"851","10/7 - 10/9","47","41"
"852","10/3 - 10/9","50","38"
"853","10/4 - 10/7","42","36"
"854","10/4 - 10/7","54","41"
"855","10/1 - 10/4","50","42"
"856","9/30 - 10/4","45","45"
"857","9/30 - 10/2","45","40"
"858","10/1 - 10/1","48","42"
"859","9/27 - 10/3","45","43"
"860","9/26 - 10/2","50","38"
"861","9/29 - 9/30","45","37"
"862","9/27 - 9/30","49","42"
"863","9/23 - 9/27","47","42"
"864","9/26 - 9/27","45","36"
"865","9/23 - 9/25","46","38"
"866","9/22 - 9/24","48","41"
"867","9/19 - 9/25","48","41"
"868","9/18 - 9/24","52","42"
"869","9/17 - 9/23","51","42"
"870","9/16 - 9/20","46","43"
"871","9/16 - 9/19","49","42"
"872","9/16 - 9/19","51","43"
"873","9/16 - 9/18","45","41"
"874","9/12 - 9/18","48","41"
"875","9/9 - 9/13","47","42"
"876","9/9 - 9/11","44","41"
"877","9/5 - 9/11","49","41"
"878","9/6 - 9/9","52","38"
"879","9/6 - 9/9","52","42"
"880","9/5 - 9/9","50","38"
"881","9/2 - 9/6","46","42"
"882","9/2 - 9/4","45","40"
"883","8/29 - 9/4","44","35"
"884","8/29 - 9/2","45","43"
"885","8/29 - 8/31","52","39"
"886","8/26 - 8/30","46","42"
"887","8/26 - 8/29","52","38"
"888","8/26 - 8/28","45","39"
"889","8/23 - 8/28","50","39"
"890","8/23 - 8/30","50","39"
"891","8/22 - 8/28","47","34"
"892","8/22 - 8/23","45","37"
"893","8/19 - 8/23","46","41"
"894","8/18 - 8/22","50","42"
"895","8/19 - 8/21","44","38"
"896","8/19 - 8/21","49","38"
"897","8/15 - 8/21","41","37"
"898","8/15 - 8/19","48","43"
"899","8/12 - 8/16","44","44"
"900","8/12 - 8/14","44","40"
"901","8/8 - 8/14","45","36"
"902","8/9 - 8/13","51","42"
"903","8/9 - 8/12","52","41"
"904","7/30 - 8/12","46","39"
"905","8/5 - 8/9","48","41"
"906","8/5 - 8/7","44","41"
"907","8/3 - 8/7","41","39"
"908","7/29 - 8/2","45","41"
"909","7/26 - 8/2","45","45"
"910","7/29 - 7/31","44","40"
"911","7/27 - 7/31","42","36"
"912","7/22 - 7/26","46","40"
"913","7/24 - 7/25","43","36"
"914","7/22 - 7/24","44","38"
"915","7/20 - 7/24","42","37"
"916","7/19 - 7/22","47","40"
"917","7/18 - 7/23","51","39"
"918","7/15 - 7/19","47","40"
"919","7/15 - 7/18","49","43"
"920","7/15 - 7/17","45","37"
"921","7/8 - 7/12","46","41"
"922","7/13 - 7/17","44","35"
"923","7/9 - 7/11","48","40"
"924","7/8 - 7/10","42","38"
"925","7/6 - 7/10","47","34"
"926","7/6 - 7/7","49","42"
"927","7/1 - 7/5","48","40"
"928","7/1 - 7/3","42","38"
"929","6/24 - 6/28","46","40"
"930","6/28 - 7/2","44","34"
"931","6/27 - 7/1","50","41"
"932","6/24 - 6/25","45","36"
"933","6/21 - 6/29","48","40"
"934","6/24 - 6/26","43","38"
"935","6/22 - 6/26","41","38"
"936","6/17 - 6/21","45","41"
"937","6/17 - 6/19","44","37"
"938","6/15 - 6/19","42","36"
"939","6/13 - 6/18","45","39"
"940","6/14 - 6/17","49","43"
"941","6/14 - 6/17","50","42"
"942","6/11 - 6/17","48","43"
"943","6/12 - 6/13","48","41"
"944","6/10 - 6/14","45","41"
"945","6/10 - 6/12","43","37"
"946","6/8 - 6/12","45","35"
"947","6/8 - 6/10","46","40"
"948","6/5 - 6/12","48","43"
"949","6/3 - 6/7","44","40"
"950","6/3 - 6/6","48","39"
"951","6/3 - 6/5","44","38"
"952","6/1 - 6/5","43","32"
"953","6/1 - 6/4","50","40"
"954","5/31 - 6/5","47","40"
"955","5/29 - 6/5","47","40"
"956","5/27 - 5/31","45","41"
"957","5/27 - 5/29","42","39"
"958","5/25 - 5/29","39","37"
"959","5/21 - 5/25","43","42"
"960","5/21 - 5/22","44","37"
"961","5/20 - 5/22","43","38"
"962","5/18 - 5/22","40","37"
"963","5/13 - 5/17","43","42"
"964","5/13 - 5/15","42","37"
"965","5/11 - 5/15","38","37"
"966","5/6 - 5/10","46","40"
"967","5/2 - 5/5","47","44"
"968","5/6 - 5/8","44","35"
"969","5/4 - 5/8","39","38"
"970","4/29 - 5/1","42","39"
"971","4/27 - 5/1","43","37"
"972","4/25 - 5/1","48","43"
"973","4/26 - 4/30","49","41"
"974","4/22 - 4/24","43","34"
"975","4/22 - 4/24","43","38"
"976","4/20 - 4/24","48","40"
"977","4/20 - 4/24","45","34"
"978","4/15 - 4/17","43","38"
"979","4/10 - 4/13","44","39"
"980","4/13 - 4/17","44","34"
"981","4/8 - 4/11","47","43"
"982","4/8 - 4/11","47","40"
"983","4/8 - 4/10","44","36"
"984","4/8 - 4/9","45","40"
"985","4/6 - 4/9","46","43"
"986","4/6 - 4/10","44","34"
"987","4/1 - 4/3","43","36"
"988","3/30 - 4/3","43","34"
"989","3/27 - 3/29","45","34"
"990","3/23 - 3/27","42","35"
"991","3/25 - 3/27","42","35"
"992","3/22 - 3/25","50","44"
"993","3/23 - 3/25","50","39"
"994","3/19 - 3/21","44","39"
"995","3/18 - 3/21","46","41"
"996","3/18 - 3/20","44","38"
"997","3/16 - 3/20","49","43"
"998","3/16 - 3/20","40","37"
"999","3/10 - 3/14","50","40"
"1000","3/10 - 3/13","43","38"
"1001","3/9 - 3/13","38","30"
"1002","3/4 - 3/8","49","40"
"1003","3/4 - 3/6","43","37"
"1004","3/2 - 3/6","38","31"
"1005","3/3 - 3/5","48","38"
"1006","3/2 - 3/5","50","41"
"1007","3/1 - 3/4","46","40"
"1008","2/25 - 2/27","40","38"
"1009","2/23 - 2/27","37","31"
"1010","2/20 - 2/24","47","32"
"1011","2/20 - 2/23","54","38"
"1012","2/20 - 2/21","46","39"
"1013","2/18 - 2/20","43","35"
"1014","2/16 - 2/20","38","30"
"1015","2/16 - 2/19","41","36"
"1016","2/16 - 2/19","53","38"
"1017","2/11 - 2/13","42","38"
"1018","2/9 - 2/13","39","30"
"1019","2/9 - 2/11","49","41"
"1020","2/5 - 2/7","49","38"
"1021","2/4 - 2/6","43","37"
"1022","2/2 - 2/6","38","31"
"1023","2/2 - 2/5","49","40"
"1024","1/25 - 2/2","46","41"
"1025","1/28 - 1/30","47","45"
"1026","1/28 - 1/30","42","37"
"1027","1/26 - 1/30","37","31"
"1028","1/24 - 1/25","45","37"
"1029","1/21 - 1/23","44","38"
"1030","1/21 - 1/23","41","37"
"1031","1/19 - 1/23","51","38"
"1032","1/19 - 1/23","38","30"
"1033","1/15 - 1/18","51","39"
"1034","1/14 - 1/18","49","44"
"1035","1/13 - 1/17","49","43"
"1036","1/14 - 1/16","42","36"
"1037","1/12 - 1/16","37","32"
"1038","1/12 - 1/16","50","39"
"1039","1/10 - 1/15","53","39"
"1040","1/8 - 1/10","46","40"
"1041","1/8 - 1/11","45","40"
"1042","1/8 - 1/9","44","37"
"1043","1/5 - 1/9","52","35"
"1044","1/5 - 1/9","40","31"
"1045","12/31 - 1/2","42","36"
"1046","12/29 - 1/2","38","31"
"1047","12/24 - 12/26","44","36"
"1048","12/17 - 12/19","44","35"
"1049","12/15 - 12/19","39","27"
"1050","12/13 - 12/18","52","37"
"1051","12/14 - 12/17","56","38"
"1052","12/13 - 12/15","50","39"
"1053","12/11 - 12/12","51","40"
"1054","12/10 - 12/12","44","36"
"1055","12/10 - 12/12","51","36"
"1056","12/8 - 12/12","37","29"
"1057","12/6 - 12/11","49","37"
"1058","12/4 - 12/7","50","37"
"1059","12/3 - 12/5","42","36"
"1060","12/1 - 12/5","37","31"
"1061","11/29 - 12/4","50","36"
"1062","11/26 - 11/28","41","35"
"1063","11/24 - 11/28","36","30"
"1064","11/19 - 11/21","42","33"
"1065","11/17 - 11/22","37","28"
"1066","11/13 - 11/15","43","40"
"1067","11/12 - 11/14","42","34"
"1068","11/10 - 11/14","38","31"
"1069","11/7 - 11/13","51","38"
"1070","11/6 - 11/9","51","36"
"1071","11/5 - 11/7","40","33"
"1072","11/3 - 11/7","38","30"
"1073","10/29 - 11/1","51","40"
"1074","10/29 - 10/31","39","36"
"1075","10/27 - 10/31","40","31"
"1076","10/27 - 10/29","50","40"
"1077","10/23 - 10/26","48","41"
"1078","10/22 - 10/24","40","33"
"1079","10/22 - 10/24","50","35"
"1080","10/20 - 10/24","36","28"
"1081","10/15 - 10/16","41","33"
"1082","10/12 - 10/15","54","38"
"1083","10/7 - 10/10","40","33"
"1084","10/5 - 10/10","49","41"
"1085","10/1 - 10/3","39","32"
"1086","9/24 - 9/26","40","34"
"1087","9/21 - 9/26","47","38"
"1088","9/22 - 9/25","48","37"
"1089","9/17 - 9/19","39","33"
"1090","9/14 - 9/18","48","42"
"1091","9/10 - 9/12","40","31"
"1092","9/3 - 9/5","39","33"
"1093","8/27 - 8/29","40","32"
"1094","8/20 - 8/22","39","33"
"1095","8/17 - 8/22","50","38"
"1096","8/18 - 8/21","49","35"
"1097","8/13 - 8/17","45","38"
"1098","8/13 - 8/15","41","33"
"1099","8/9 - 8/15","50","40"
"1100","8/8 - 8/12","47","40"
"1101","8/6 - 8/8","39","34"
"1102","8/3 - 8/6","51","42"
"1103","7/31 - 8/1","39","34"
"1104","7/27 - 8/1","52","38"
"1105","7/23 - 7/25","40","34"
"1106","7/15 - 7/18","40","34"
"1107","7/10 - 7/13","52","38"
"1108","7/9 - 7/11","39","32"
"1109","7/3 - 7/4","37","35"
"1110","6/25 - 6/27","47","41"
"1111","6/25 - 6/27","41","35"
"1112","6/22 - 6/27","51","41"
"1113","6/21 - 6/25","48","38"
"1114","6/18 - 6/20","38","35"
"1115","6/17 - 6/20","50","42"
"1116","6/11 - 6/13","38","36"
"1117","6/9 - 6/11","50","40"
"1118","6/4 - 6/6","41","37"
"1119","5/31 - 6/6","51","39"
"1120","5/27 - 5/30","39","33"
"1121","5/4 - 5/9","54","38"
"1122","5/20 - 5/23","38","36"
"1123","5/13 - 5/16","40","33"
"1124","5/12 - 5/14","49","38"
"1125","5/6 - 5/9","40","35"
"1126","4/29 - 5/2","38","35"
"1127","4/23 - 4/25","47","42"
"1128","4/23 - 4/25","39","34"
"1129","4/22 - 4/25","49","41"
"1130","4/17 - 4/20","47","43"
"1131","4/17 - 4/18","47","41"
"1132","4/15 - 4/18","38","32"
"1133","4/11 - 4/12","45","38"
"1134","3/27 - 3/28","48","43"
"1135","3/22 - 3/27","47","38"
"1136","3/10 - 3/12","46","41"
"1137","2/21 - 2/22","46","43"
"1138","1/23 - 1/24","48","40"
